rank,uid,username,type,accompany,medal_name,medal_level
1,6417028,学渣只能说一句花Q,提督,1338,薇我50,47
2,215160355,龍腾萬裏,提督,716,薇我50,44
3,206971950,于生真君,提督,573,薇我50,36
4,324234804,橘小草,舰长,210,薇我50,42
5,500926970,啾哩の小鸟,舰长,1631,薇我50,41
6,20623283,魔龙幻象,舰长,964,薇我50,41
7,35954316,断桥九色鹿liner,舰长,1648,薇我50,41
8,3488947,翲雪,舰长,996,薇我50,40
9,26164174,头像是我老婆都不许抢,舰长,402,薇我50,40
10,3886831,白色の契约,舰长,325,薇我50,38
11,513364,AquaARIA,舰长,1427,薇我50,38
12,86948494,邪眼断罪真君,舰长,828,薇我50,37
13,66909349,通りすがりの卡面来打,舰长,443,薇我50,37
14,2021813,憨咸玉,舰长,1429,薇我50,37
15,520950948,天高又海阔,舰长,853,薇我50,37
16,11947976,墨二猫,舰长,1418,薇我50,37
17,36803580,苏清璇omo,舰长,1794,薇我50,36
18,38267109,寒将学,舰长,1499,薇我50,36
19,88069932,啵啵语默yumo,舰长,1105,薇我50,36
20,486618176,唯爱-金克丝,舰长,1485,薇我50,36
21,7655747,Maki-Lucky,舰长,1074,薇我50,35
22,33909726,知丶薇,舰长,1544,薇我50,35
23,44539694,落晓星垂,舰长,937,薇我50,35
24,13618274,到处逛gai的织月_邪夜,舰长,900,薇我50,35
25,188407581,等枫的秋omega,舰长,1148,薇我50,35
26,1597285,cy122312,舰长,90,薇我50,35
27,24331924,渡劫老咸鱼,舰长,1349,薇我50,35
28,4725013,Lin嚯嚯从小就是大冤种,舰长,946,薇我50,35
29,29117,巫女猎人,舰长,1386,薇我50,35
30,82190873,夜宁远233,舰长,811,薇我50,35
31,1666610463,達尼克斯,舰长,1227,薇我50,35
32,30588204,wbl00,舰长,871,薇我50,35
33,3493290353625201,CrazyFeng绝逢,舰长,393,薇我50,35
34,500015824,明阅清风,舰长,720,薇我50,35
35,31260366,yy猫咪的日常,舰长,701,薇我50,35
36,65438110,瘟疫小三,舰长,1021,薇我50,35
37,34549812,三速红翼,舰长,1078,薇我50,35
38,204323021,老实の锅包又,舰长,1485,薇我50,34
39,33039475,来自地狱魅影,舰长,1140,薇我50,34
