rank,uid,username,type,accompany,medal_name,medal_level
1,215160355,薇拉永恒,总督,765,薇我50,47
2,6417028,学渣只能说一句花Q,提督,1387,薇我50,47
3,324234804,橘小草,提督,259,薇我50,43
4,26164174,头像是我老婆都不许抢,提督,451,薇我50,42
5,3886831,白色の契约,提督,374,薇我50,41
6,66909349,通りすがりの卡面来打,提督,492,薇我50,39
7,86948494,邪眼断罪真君,提督,877,薇我50,38
8,1418947,腊鸡玲珑,提督,747,薇我50,37
9,13618274,到处逛gai的织月_邪夜,提督,949,薇我50,37
10,30588204,wbl00,提督,920,薇我50,36
11,22797286,凡狼pyamiles,提督,1240,薇我50,36
12,18526621,不科学的事事,提督,911,薇我50,36
13,11154077,-逍遥哈利-,提督,1100,薇我50,36
14,19532424,是四不是死的四兔子,提督,834,薇我50,35
15,119100882,剑心r小兵,提督,280,薇我50,34
16,2128607118,鹅蛋冲击,提督,160,薇我50,33
17,1975435,七月旧年,提督,227,薇我50,32
18,3546899242027326,巨蚊子expromax,提督,47,薇我50,32
19,5807542,刘至一,提督,130,薇我50,32
20,20623283,魔龙幻象,舰长,1013,薇我50,42
21,500926970,啾哩の小鸟,舰长,1680,薇我50,41
22,35954316,断桥九色鹿liner,舰长,1697,薇我50,41
23,3488947,翲雪,舰长,1045,薇我50,40
24,513364,AquaARIA,舰长,1476,薇我50,38
25,2021813,憨咸玉,舰长,1478,薇我50,37
26,520950948,-墨终-,舰长,902,薇我50,37
27,11947976,墨二猫,舰长,1467,薇我50,37
28,1597285,cy122312,舰长,139,薇我50,37
29,36803580,苏清璇omo,舰长,1843,薇我50,36
30,38267109,寒将学,舰长,1548,薇我50,36
31,486618176,唯爱-金克丝,舰长,1534,薇我50,36
32,206971950,于生真君,舰长,603,薇我50,36
33,7655747,Maki-Lucky,舰长,1123,薇我50,36
34,88069932,啵啵语默yumo,舰长,1154,薇我50,36
35,68000638,-叶樱-,舰长,280,薇我50,36
36,33909726,知丶薇,舰长,1593,薇我50,36
37,44539694,落晓星垂,舰长,986,薇我50,36
38,188407581,等枫的秋omega,舰长,1187,薇我50,35
39,24331924,渡劫老咸鱼,舰长,1398,薇我50,35
40,18256506,边缘友人,舰长,461,薇我50,35
41,31260366,yy猫咪的日常,舰长,750,薇我50,35
42,82190873,夜宁远233,舰长,860,薇我50,35
43,4725013,Lin嚯嚯从小就是大冤种,舰长,995,薇我50,35
44,500015824,明阅清风,舰长,769,薇我50,35
45,1666610463,達尼克斯,舰长,1275,薇我50,35
46,29117,巫女猎人,舰长,1435,薇我50,35
47,65438110,瘟疫小三,舰长,1070,薇我50,35
48,204323021,老实の锅包又,舰长,1534,薇我50,35
49,3493290353625201,CrazyFeng绝逢,舰长,442,薇我50,35
50,34549812,三速红翼,舰长,1120,薇我50,35
51,33039475,来自地狱魅影,舰长,1189,薇我50,35
52,2158592,AntimonyRA,舰长,1300,薇我50,35
53,1413795259,花飞花影,舰长,437,薇我50,35
54,15016606,地狱掌管者-路西法,舰长,1122,薇我50,35
55,34639269,Sam-_-_-,舰长,636,薇我50,35
56,13038645,回忆的熊孩子,舰长,1340,薇我50,34
57,301640080,压力史莱姆,舰长,823,薇我50,34
58,672722632,亿穷二白王道长,舰长,675,薇我50,34
59,1887203,漆黑小透明,舰长,1089,薇我50,34
60,3665701,黑腹小萝莉,舰长,1022,薇我50,34
61,284241412,B站-市场调研-员,舰长,1052,薇我50,34
62,175445590,过路人333,舰长,1105,薇我50,34
63,1276746344,爱莉希雅nya,舰长,1321,薇我50,34
64,1681268,未定形史莱姆,舰长,1125,薇我50,34
