rank,uid,username,type,accompany,medal_name,medal_level
1,21815500,令堂翱翔,提督,85,薇我50,41
2,88830022,糖加小酥,提督,86,薇我50,37
3,77029724,山中老鱼,提督,206,薇我50,33
4,500926970,啾哩の小鸟,舰长,1408,薇我50,41
5,35954316,断桥九色鹿liner,舰长,1425,薇我50,40
6,6417028,学渣只能说一句花Q,舰长,1115,薇我50,40
7,3488947,翲雪,舰长,773,薇我50,39
8,20623283,魔龙幻象,舰长,741,薇我50,38
9,513364,AquaARIA,舰长,1204,薇我50,37
10,2021813,憨咸玉,舰长,1206,薇我50,37
11,86948494,邪眼断罪真君,舰长,605,薇我50,36
12,36803580,苏清璇omo,舰长,1571,薇我50,36
13,38267109,寒将学,舰长,1289,薇我50,35
14,486618176,唯爱-金克丝,舰长,1262,薇我50,35
15,44539694,落晓星垂,舰长,714,薇我50,35
16,33909726,知丶薇,舰长,1321,薇我50,35
17,13618274,到处逛gai的织月_邪夜,舰长,677,薇我50,34
18,7655747,Maki-Lucky,舰长,851,薇我50,34
19,4725013,Lin嚯嚯从小就是大冤种,舰长,723,薇我50,34
20,105294017,YNC小影子,舰长,450,薇我50,34
21,88069932,啵啵语默yumo,舰长,882,薇我50,34
22,24331924,渡劫老咸鱼,舰长,1126,薇我50,34
23,188407581,等枫的秋sigma,舰长,967,薇我50,34
24,1666610463,達尼克斯,舰长,1013,薇我50,34
25,204323021,老实の锅包又,舰长,1262,薇我50,34
26,33039475,来自地狱魅影,舰长,917,薇我50,33
27,31260366,yy猫咪的日常,舰长,481,薇我50,33
28,30588204,wbl00,舰长,648,薇我50,33
29,29117,巫女猎人,舰长,1163,薇我50,33
30,215160355,龍腾萬裏,舰长,493,薇我50,33
31,15016606,地狱掌管者-路西法,舰长,881,薇我50,33
32,13038645,回忆的熊孩子,舰长,1068,薇我50,33
33,175445590,过路人333,舰长,833,薇我50,33
34,2158592,AntimonyRA,舰长,1040,薇我50,33
35,65438110,瘟疫3,舰长,798,薇我50,33
36,520950948,-墨终-,舰长,630,薇我50,33
37,1276746344,爱莉希雅nya,舰长,1095,薇我50,33
38,1887203,漆黑小透明,舰长,817,薇我50,33
39,11154077,-逍遥哈利-,舰长,828,薇我50,33
40,284241412,市场调研员,舰长,799,薇我50,33
41,261020,绯の亚莉亚,舰长,341,薇我50,33
42,224567449,童山闻颜,舰长,884,薇我50,32
43,3665701,黑腹小萝莉,舰长,750,薇我50,32
44,301640080,压力史莱姆,舰长,551,薇我50,32
45,110366,Melody一野猫,舰长,701,薇我50,32
46,672722632,亿穷二白王道长,舰长,403,薇我50,32
47,38403401,珍惜未来,舰长,888,薇我50,32
48,1413795259,花飞花影,舰长,224,薇我50,32
49,8657762,金Au银Ag,舰长,952,薇我50,32
50,66909349,通りすがりの卡面来打,舰长,220,薇我50,32
51,500015824,明阅清风,舰长,499,薇我50,32
52,34936482,可爱多一点的小可爱,舰长,778,薇我50,32
53,92484205,依旧是那片羽,舰长,809,薇我50,32
54,352626239,跳楼投简历,舰长,221,薇我50,32
55,3221225,Sailaphair,舰长,630,薇我50,32
56,365247143,穆-夏,舰长,840,薇我50,32
57,76557065,昔日猖狂,舰长,380,薇我50,31
58,1418947,腊鸡玲珑_躺平中,舰长,475,薇我50,31
59,3493259942824884,是落零哟,舰长,118,薇我50,31
60,18256506,雪乃结衣,舰长,213,薇我50,31
61,7345183,无知的弟弟,舰长,551,薇我50,31
62,271865349,花果山吗喽小阿凌,舰长,373,薇我50,31
63,44477862,梦镜のら,舰长,458,薇我50,31
64,266220921,羽飘漂,舰长,462,薇我50,31
65,157504414,虾滑馅鱼之咸,舰长,414,薇我50,31
66,59632957,纯白鸢尾,舰长,565,薇我50,31
67,20344258,夜火的余烬,舰长,672,薇我50,31
68,26164174,头像是我老婆都不许抢,舰长,179,薇我50,31
69,119549172,桜小路瑞希,舰长,583,薇我50,31
70,286681,焚风浩克,舰长,631,薇我50,31
71,34639269,Sam-_-_-,舰长,372,薇我50,31
72,919906,怜怜_Official,舰长,535,薇我50,31
73,441175327,终南苍云-棉花糖,舰长,306,薇我50,31
74,142346059,真寻酱又被撅了,舰长,264,薇我50,30
75,15306134,亡雨轩,舰长,402,薇我50,30
76,535542637,ulsmallzhou,舰长,497,薇我50,30
77,33902990,米可多的老公粉黑初音,舰长,369,薇我50,30
78,51989914,S-K-Y-beta,舰长,341,薇我50,30
79,3546665562671221,米里不是米格,舰长,467,薇我50,30
80,102413528,汪情许爱今生缘,舰长,535,薇我50,30
81,3546707608472248,英之胜刃,舰长,282,薇我50,30
82,3886831,白色の契约,舰长,102,薇我50,30
83,32412612,下雨带刀不打伞,舰长,373,薇我50,30
84,1952581820,晒太阳德萝卜,舰长,251,薇我50,30
85,166737838,风忆清浅丶,舰长,505,薇我50,30
86,3493290353625201,CrazyFeng绝逢,舰长,170,薇我50,30
87,502759263,Y魇_魇Y,舰长,222,薇我50,30
88,7640597,空灬白丶采佩西,舰长,325,薇我50,30
89,645910106,炁海循风,舰长,347,薇我50,30
90,375831015,广武大蟑螂,舰长,256,薇我50,29
91,26520322,凛冬-乐乐,舰长,265,薇我50,29
92,435628439,玥之力,舰长,281,薇我50,29
93,11038787,无始虚空,舰长,161,薇我50,29
94,295283958,黎_明_樱,舰长,171,薇我50,29
95,2399315,雙轉輪迴,舰长,251,薇我50,29
96,32849738,古月鸟Cramorant,舰长,315,薇我50,29
97,3546824000407733,璃星璇,舰长,329,薇我50,29
98,1077377920,安东喵没脑子,舰长,184,薇我50,28
99,76648977,血魔之渊,舰长,193,薇我50,28
100,2670739,一般路过的假面礼拜liu,舰长,286,薇我50,28
101,97696538,琅琊张子云,舰长,94,薇我50,28
102,3494363860568548,重月dop,舰长,110,薇我50,28
103,357368,小北是真姬厨,舰长,167,薇我50,28
104,1412923,爱与正义的反派,舰长,199,薇我50,28
105,240594618,姜山石头人,舰长,169,薇我50,27
106,58181607,苏玖汣等奈奈,舰长,217,薇我50,27
107,252286361,大逗比FBC,舰长,101,薇我50,27
108,33540376,镜中觅己,舰长,106,薇我50,27
109,493895182,伊扎克斯621,舰长,110,薇我50,27
110,85447188,无尽光之旋律,舰长,153,薇我50,27
111,15712155,匆匆路过人间,舰长,100,薇我50,27
112,1418516223,白夏之季,舰长,162,薇我50,26
113,176503838,苏待墨,舰长,102,薇我50,26
114,12153648,初雪兰,舰长,132,薇我50,26
115,693835560,咲白雫,舰长,101,薇我50,26
116,21153063,Flpupoo,舰长,110,薇我50,26
117,3546615983901533,Coneafiter,舰长,46,薇我50,26
118,109107768,突破琳琅_自己上天,舰长,102,薇我50,26
119,105495326,最爱微胖眼镜娘,舰长,51,薇我50,25
120,51187180,丕凊,舰长,48,薇我50,24
121,26249016,一只大懒猫丶,舰长,16,薇我50,24
122,720815,白色羽魔,舰长,51,薇我50,24
123,1245362248,砚卿_请让我去刷题,舰长,67,薇我50,24
124,588551110,流云蝶梦,舰长,57,薇我50,23
125,1710695273,鸿洋十二吖,舰长,25,薇我50,23
126,2200156,平平无奇的酒保J,舰长,28,薇我50,21
127,19943229,粉切黑_露露,舰长,31,薇我50,21
128,453455035,不干正事的校尉,舰长,8,薇我50,21
129,3537109828766360,霜月-无尘cy,舰长,5,薇我50,21
130,488469426,戈竺槿,舰长,11,薇我50,21
