rank,uid,username,type,accompany,medal_name,medal_level
1,6417028,学渣只能说一句花Q,提督,1313,薇我50,47
2,215160355,龍腾萬裏,提督,0,薇我50,44
3,324234804,橘小草,提督,0,薇我50,42
4,500926970,啾哩の小鸟,舰长,1606,薇我50,41
5,20623283,魔龙幻象,舰长,939,薇我50,41
6,35954316,断桥九色鹿liner,舰长,1623,薇我50,41
7,3488947,翲雪,舰长,971,薇我50,40
8,33069272,熙珺Seiro,舰长,638,薇我50,38
9,3886831,白色の契约,舰长,300,薇我50,38
10,26164174,头像是我老婆都不许抢,舰长,377,薇我50,38
11,513364,AquaARIA,舰长,1402,薇我50,38
12,86948494,邪眼断罪真君,舰长,803,薇我50,37
13,2021813,憨咸玉,舰长,1404,薇我50,37
14,66909349,通りすがりの卡面来打,舰长,418,薇我50,37
15,520950948,-墨终-,舰长,828,薇我50,37
16,36803580,苏清璇omo,舰长,1769,薇我50,36
17,38267109,寒将学,舰长,1474,薇我50,36
18,441175327,终南苍云-棉花糖,舰长,499,薇我50,36
19,88069932,啵啵语默yumo,舰长,1080,薇我50,36
20,486618176,唯爱-金克丝,舰长,1460,薇我50,35
21,7655747,Maki-Lucky,舰长,1049,薇我50,35
22,33909726,知丶薇,舰长,1519,薇我50,35
23,44539694,落晓星垂,舰长,912,薇我50,35
24,13618274,到处逛gai的织月_邪夜,舰长,875,薇我50,35
25,188407581,等枫的秋omega,舰长,1139,薇我50,35
26,1597285,cy122312,舰长,65,薇我50,35
27,24331924,渡劫老咸鱼,舰长,1324,薇我50,35
28,82190873,夜宁远233,舰长,786,薇我50,35
29,18256506,雪乃结衣,舰长,404,薇我50,35
30,4725013,Lin嚯嚯从小就是大冤种,舰长,921,薇我50,35
31,1666610463,達尼克斯,舰长,1202,薇我50,35
32,30588204,wbl00,舰长,846,薇我50,35
33,29117,巫女猎人,舰长,1361,薇我50,35
34,500015824,明阅清风,舰长,695,薇我50,35
35,3493290353625201,CrazyFeng绝逢,舰长,368,薇我50,35
36,65438110,瘟疫3,舰长,996,薇我50,35
37,19532424,是四不是死的四兔子,舰长,802,薇我50,35
38,34549812,三速红翼,舰长,1053,薇我50,35
39,31260366,yy猫咪的日常,舰长,679,薇我50,35
40,2158592,AntimonyRA,舰长,1234,薇我50,34
41,33039475,来自地狱魅影,舰长,1115,薇我50,34
42,204323021,老实の锅包又,舰长,1460,薇我50,34
43,1418947,腊鸡玲珑_躺平中,舰长,673,薇我50,34
44,672722632,亿穷二白王道长,舰长,601,薇我50,34
45,13038645,回忆的熊孩子,舰长,1266,薇我50,34
46,105294017,YNC小影子,舰长,648,薇我50,34
47,175445590,过路人333,舰长,1031,薇我50,34
48,1276746344,爱莉希雅nya,舰长,1247,薇我50,34
49,284241412,B站-市场调研-员,舰长,983,薇我50,34
50,301640080,压力史莱姆,舰长,749,薇我50,34
51,1887203,漆黑小透明,舰长,1015,薇我50,34
52,3665701,黑腹小萝莉,舰长,948,薇我50,34
53,11154077,-逍遥哈利-,舰长,1026,薇我50,34
54,108038351,泽云熙海,舰长,832,薇我50,34
55,224567449,童山闻颜,舰长,1082,薇我50,34
56,36227964,fft肥肥羊,舰长,788,薇我50,34
57,38403401,珍惜未来,舰长,1086,薇我50,33
58,8657762,金Au银Ag,舰长,1150,薇我50,33
59,352940707,幽幕灵,舰长,867,薇我50,33
60,76557065,昔日猖狂,舰长,578,薇我50,33
61,392082420,V圈守墓人-逆风21314号,舰长,905,薇我50,33
62,157504414,虾滑馅鱼之咸,舰长,605,薇我50,33
63,110366,Melody一野猫,舰长,899,薇我50,33
64,34639269,Sam-_-_-,舰长,570,薇我50,33
65,17212506,仙狐晓梦,舰长,772,薇我50,33
66,14121293,-悠乐美-,舰长,494,薇我50,33
67,34936482,可爱多一点的小可爱,舰长,976,薇我50,33
68,92484205,依旧是那片羽,舰长,1007,薇我50,33
69,352626239,跳楼投简历,舰长,416,薇我50,33
70,3221225,Sailaphair,舰长,828,薇我50,33
71,7345183,无知的弟弟,舰长,749,薇我50,33
72,365247143,穆-夏,舰长,1038,薇我50,33
73,119549172,桜小路瑞希,舰长,781,薇我50,33
74,3546707608472248,英之胜刃,舰长,480,薇我50,33
75,266220921,羽飘漂,舰长,659,薇我50,33
76,295283958,黎_明_樱,舰长,369,薇我50,33
77,15306134,亡雨轩,舰长,597,薇我50,33
78,502759263,Y魇_魇Y_闲逛版,舰长,420,薇我50,33
79,18526621,不科学的事事,舰长,837,薇我50,33
80,44477862,梦镜のら,舰长,578,薇我50,33
81,261020,绯の亚莉亚,舰长,539,薇我50,33
82,919906,怜怜_Official,舰长,733,薇我50,32
83,535542637,ulsmallzhou,舰长,695,薇我50,32
84,102413528,汪情许爱今生缘,舰长,733,薇我50,32
85,17498256,泠-梦怜,舰长,749,薇我50,32
86,286681,焚风浩克,舰长,829,薇我50,32
87,398692334,小北方__,舰长,515,薇我50,32
88,578482,咩噗菲宝-尤菲,舰长,101,薇我50,32
89,11038787,无始虚空,舰长,359,薇我50,32
90,3546665562671221,米里尔Miller,舰长,665,薇我50,32
91,486631237,-未存-,舰长,218,薇我50,32
92,166737838,风忆清浅丶,舰长,703,薇我50,32
93,7640597,空灬白丶采佩西,舰长,523,薇我50,32
94,616115,无聊的仁,舰长,485,薇我50,32
95,2399315,雙轉輪迴,舰长,449,薇我50,32
96,26520322,凛冬-乐乐,舰长,463,薇我50,31
97,3493259942824884,是落零哟,舰长,316,薇我50,31
98,85666611,亚西克维奇,舰长,237,薇我50,31
99,3546824000407733,璃星璇,舰长,527,薇我50,31
100,19168683,脸黑的又,舰长,488,薇我50,31
101,240594618,姜山石头人,舰长,367,薇我50,31
102,33540376,镜中觅己,舰长,304,薇我50,31
103,493895182,达纳萨玛621,舰长,308,薇我50,31
104,142346059,真寻酱又被撅了,舰长,462,薇我50,31
105,76648977,血魔之渊,舰长,391,薇我50,31
106,110477673,水墨丹菁,舰长,232,薇我50,31
107,357368,小北是真姬厨,舰长,365,薇我50,31
108,1060512510,陈小杰-暴怒男神,舰长,340,薇我50,31
109,119100882,剑心r小兵,舰长,215,薇我50,30
110,58181607,慧如群星,舰长,415,薇我50,30
111,499682025,易浮尘,舰长,168,薇我50,30
112,1418516223,白夏之季,舰长,360,薇我50,30
113,224748418,FUTR未来,舰长,142,薇我50,30
114,532791,薇拉Vera-Official,舰长,269,薇我50,30
115,12153648,初雪兰,舰长,330,薇我50,30
116,16120203,诺诺维亚,舰长,208,薇我50,30
117,12061686,盗心の魔理沙,舰长,357,薇我50,30
118,7241260,叫我雪糕,舰长,335,薇我50,30
119,19994336,Saiei-YOYO,舰长,184,薇我50,30
120,85447188,无尽光之旋律,舰长,351,薇我50,30
121,397045566,血姬不是雌小鬼づ,舰长,273,薇我50,30
122,1245362248,痴呆嘎嘎菜,舰长,199,薇我50,29
123,295193005,云眠Comet,舰长,128,薇我50,29
124,51187180,丕凊,舰长,130,薇我50,29
125,14757363,猫ブブブブブブブブブ,舰长,103,薇我50,29
126,409738506,郁林郡那边的月夜清风,舰长,218,薇我50,29
127,20183900,寄思,舰长,268,薇我50,28
128,1975435,七月旧年,舰长,177,薇我50,28
129,500330198,丧钟亦是晚钟,舰长,77,薇我50,28
130,622806781,啊碎碎冰L-,舰长,158,薇我50,28
131,19108459,娜娜的小虎牙,舰长,174,薇我50,28
132,454539765,段某不会下棋,舰长,98,薇我50,28
133,322301653,景凤团子0vo,舰长,57,薇我50,28
134,381895261,混吃等死的小六月,舰长,169,薇我50,27
135,3546612081100991,斜眼断罪真菌,舰长,207,薇我50,27
136,2128607118,鹅蛋冲击,舰长,119,薇我50,27
137,415202603,多一点的免子,舰长,112,薇我50,27
138,11857981,俯瞰风景の幽灵,舰长,98,薇我50,26
139,43833224,我怎么想不到好名字呢,舰长,87,薇我50,26
140,3546385997629654,源陵の爹,舰长,80,薇我50,26
141,567586524,叫我随风就好,舰长,76,薇我50,26
142,15258517,月升千绫,舰长,75,薇我50,25
143,3546700568332496,梦水何又问,舰长,76,薇我50,25
144,28335323,偷一缕暖火,舰长,87,薇我50,25
