rank,uid,username,type,accompany,medal_name,medal_level
1,6417028,学渣只能说一句花Q,提督,1308,薇我50,47
2,215160355,龍腾萬裏,提督,686,薇我50,44
3,324234804,橘小草,提督,180,薇我50,42
4,500926970,啾哩の小鸟,舰长,1601,薇我50,41
5,20623283,魔龙幻象,舰长,934,薇我50,41
6,35954316,断桥九色鹿liner,舰长,1618,薇我50,41
7,3488947,翲雪,舰长,966,薇我50,40
8,33069272,熙珺Seiro,舰长,633,薇我50,38
9,3886831,白色の契约,舰长,295,薇我50,38
10,26164174,头像是我老婆都不许抢,舰长,372,薇我50,38
11,513364,AquaARIA,舰长,1397,薇我50,38
12,86948494,邪眼断罪真君,舰长,798,薇我50,37
13,2021813,憨咸玉,舰长,1399,薇我50,37
14,66909349,通りすがりの卡面来打,舰长,413,薇我50,37
15,520950948,-墨终-,舰长,823,薇我50,37
16,36803580,苏清璇omo,舰长,1764,薇我50,36
17,38267109,寒将学,舰长,1469,薇我50,36
18,441175327,终南苍云-棉花糖,舰长,494,薇我50,36
19,88069932,啵啵语默yumo,舰长,1075,薇我50,36
20,486618176,唯爱-金克丝,舰长,1455,薇我50,35
21,7655747,Maki-Lucky,舰长,1044,薇我50,35
22,33909726,知丶薇,舰长,1514,薇我50,35
23,44539694,落晓星垂,舰长,907,薇我50,35
24,13618274,到处逛gai的织月_邪夜,舰长,870,薇我50,35
25,188407581,等枫的秋omega,舰长,1134,薇我50,35
26,24331924,渡劫老咸鱼,舰长,1319,薇我50,35
27,18256506,雪乃结衣,舰长,399,薇我50,35
28,4725013,Lin嚯嚯从小就是大冤种,舰长,916,薇我50,35
29,82190873,夜宁远233,舰长,781,薇我50,35
30,30588204,wbl00,舰长,841,薇我50,35
31,29117,巫女猎人,舰长,1356,薇我50,35
32,1666610463,達尼克斯,舰长,1197,薇我50,35
33,500015824,明阅清风,舰长,690,薇我50,35
34,3493290353625201,CrazyFeng绝逢,舰长,363,薇我50,35
35,65438110,瘟疫3,舰长,991,薇我50,35
36,19532424,是四不是死的四兔子,舰长,797,薇我50,35
37,31260366,yy猫咪的日常,舰长,674,薇我50,34
38,33039475,来自地狱魅影,舰长,1110,薇我50,34
39,204323021,老实の锅包又,舰长,1455,薇我50,34
40,1418947,腊鸡玲珑_躺平中,舰长,668,薇我50,34
41,672722632,亿穷二白王道长,舰长,596,薇我50,34
42,408466021,阿牧献云,舰长,1199,薇我50,34
43,13038645,回忆的熊孩子,舰长,1261,薇我50,34
44,1413795259,花飞花影,舰长,417,薇我50,34
45,105294017,YNC小影子,舰长,643,薇我50,34
46,175445590,过路人333,舰长,1026,薇我50,34
47,1276746344,爱莉希雅nya,舰长,1242,薇我50,34
48,284241412,B站-市场调研-员,舰长,978,薇我50,34
49,301640080,压力史莱姆,舰长,744,薇我50,34
50,1887203,漆黑小透明,舰长,1010,薇我50,34
51,3665701,黑腹小萝莉,舰长,943,薇我50,34
52,11154077,-逍遥哈利-,舰长,1021,薇我50,34
53,108038351,泽云熙海,舰长,827,薇我50,34
54,224567449,童山闻颜,舰长,1077,薇我50,34
55,36227964,fft肥肥羊,舰长,783,薇我50,34
56,8657762,金Au银Ag,舰长,1145,薇我50,33
57,352940707,幽幕灵,舰长,862,薇我50,33
58,76557065,昔日猖狂,舰长,573,薇我50,33
59,38403401,珍惜未来,舰长,1081,薇我50,33
60,110366,Melody一野猫,舰长,894,薇我50,33
61,17212506,仙狐晓梦,舰长,767,薇我50,33
62,14121293,-悠乐美-,舰长,489,薇我50,33
63,392082420,V圈守墓人-逆风21314号,舰长,900,薇我50,33
64,34936482,可爱多一点的小可爱,舰长,971,薇我50,33
65,34639269,Sam-_-_-,舰长,565,薇我50,33
66,92484205,依旧是那片羽,舰长,1002,薇我50,33
67,352626239,跳楼投简历,舰长,411,薇我50,33
68,3221225,Sailaphair,舰长,823,薇我50,33
