rank,uid,username,type,accompany,medal_name,medal_level
1,21815500,令堂翱翔,提督,138,薇我50,41
2,2670739,一般路过的假面礼拜liu,提督,339,薇我50,32
3,6417028,学渣只能说一句花Q,舰长,1168,薇我50,42
4,500926970,啾哩の小鸟,舰长,1461,薇我50,41
5,35954316,断桥九色鹿liner,舰长,1478,薇我50,40
6,3488947,翲雪,舰长,826,薇我50,39
7,20623283,魔龙幻象,舰长,794,薇我50,38
8,88830022,糖加小酥,舰长,139,薇我50,37
9,513364,AquaARIA,舰长,1257,薇我50,37
10,2021813,憨咸玉,舰长,1259,薇我50,37
11,86948494,邪眼断罪真君,舰长,658,薇我50,37
12,36803580,苏清璇omo,舰长,1624,薇我50,36
13,38267109,寒将学,舰长,1329,薇我50,35
14,486618176,唯爱-金克丝,舰长,1315,薇我50,35
15,44539694,落晓星垂,舰长,767,薇我50,35
16,33909726,知丶薇,舰长,1374,薇我50,35
17,13618274,到处逛gai的织月_邪夜,舰长,730,薇我50,35
18,7655747,Maki-Lucky,舰长,904,薇我50,35
19,4725013,Lin嚯嚯从小就是大冤种,舰长,776,薇我50,34
20,88069932,啵啵语默yumo,舰长,935,薇我50,34
21,24331924,渡劫老咸鱼,舰长,1179,薇我50,34
22,140650247,岚狄9045,舰长,815,薇我50,34
23,188407581,池乐之女-等枫的秋,舰长,1020,薇我50,34
24,105294017,YNC小影子,舰长,503,薇我50,34
25,1666610463,達尼克斯,舰长,1057,薇我50,34
26,29117,巫女猎人,舰长,1216,薇我50,34
27,30588204,wbl00,舰长,701,薇我50,34
28,215160355,龍腾萬裏,舰长,546,薇我50,34
29,204323021,老实の锅包又,舰长,1315,薇我50,34
30,31260366,yy猫咪的日常,舰长,534,薇我50,34
31,33039475,来自地狱魅影,舰长,970,薇我50,34
32,520950948,-墨终-,舰长,683,薇我50,34
33,15016606,地狱掌管者-路西法,舰长,934,薇我50,34
34,65438110,瘟疫3,舰长,851,薇我50,34
35,1413795259,花飞花影,舰长,277,薇我50,34
36,66909349,通りすがりの卡面来打,舰长,273,薇我50,33
37,19532424,是四不是死的四兔子,舰长,695,薇我50,33
38,2158592,AntimonyRA,舰长,1093,薇我50,33
39,13038645,回忆的熊孩子,舰长,1121,薇我50,33
40,175445590,过路人333,舰长,886,薇我50,33
41,1887203,漆黑小透明,舰长,870,薇我50,33
42,26164174,头像是我老婆都不许抢,舰长,232,薇我50,33
43,480603815,凤顗,舰长,760,薇我50,33
