rank,uid,username,type,accompany,medal_name,medal_level
1,6417028,学渣只能说一句花Q,提督,1247,薇我50,45
2,215160355,龍腾萬裏,提督,625,薇我50,43
3,324234804,橘小草,提督,119,薇我50,40
4,33069272,熙珺Seiro,提督,584,薇我50,38
5,20623283,魔龙幻象,舰长,873,薇我50,41
6,500926970,啾哩の小鸟,舰长,1540,薇我50,41
7,35954316,断桥九色鹿liner,舰长,1557,薇我50,40
8,3488947,翲雪,舰长,905,薇我50,40
9,513364,AquaARIA,舰长,1336,薇我50,38
10,88830022,糖加小酥,舰长,210,薇我50,38
11,3886831,白色の契约,舰长,234,薇我50,37
12,2021813,憨咸玉,舰长,1338,薇我50,37
13,86948494,邪眼断罪真君,舰长,737,薇我50,37
14,520950948,-墨终-,舰长,762,薇我50,36
15,66909349,通りすがりの卡面来打,舰长,352,薇我50,36
16,36803580,苏清璇omo,舰长,1703,薇我50,36
17,38267109,寒将学,舰长,1408,薇我50,36
18,441175327,终南苍云-棉花糖,舰长,433,薇我50,36
19,88069932,啵啵语默yumo,舰长,1014,薇我50,35
20,486618176,唯爱-金克丝,舰长,1394,薇我50,35
21,26164174,头像是我老婆都不许抢,舰长,311,薇我50,35
22,7655747,Maki-Lucky,舰长,983,薇我50,35
23,33909726,知丶薇,舰长,1453,薇我50,35
24,44539694,落晓星垂,舰长,846,薇我50,35
25,13618274,到处逛gai的织月_邪夜,舰长,809,薇我50,35
26,188407581,等枫的秋omega,舰长,1085,薇我50,35
27,206971950,于生真君,舰长,561,薇我50,35
28,22797286,凡狼pyamiles,舰长,1161,薇我50,35
29,24331924,渡劫老咸鱼,舰长,1258,薇我50,35
30,140650247,岚狄9045,舰长,874,薇我50,35
31,4725013,Lin嚯嚯从小就是大冤种,舰长,855,薇我50,35
32,18256506,雪乃结衣,舰长,338,薇我50,35
33,3493290353625201,CrazyFeng绝逢,舰长,302,薇我50,35
34,29117,巫女猎人,舰长,1295,薇我50,35
35,30588204,wbl00,舰长,780,薇我50,35
36,1666610463,達尼克斯,舰长,1136,薇我50,34
37,19532424,是四不是死的四兔子,舰长,771,薇我50,34
38,82190873,夜宁远233,舰长,720,薇我50,34
39,34549812,三速红翼,舰长,1009,薇我50,34
40,31260366,yy猫咪的日常,舰长,613,薇我50,34
41,65438110,瘟疫3,舰长,930,薇我50,34
42,500015824,明阅清风,舰长,629,薇我50,34
43,2158592,AntimonyRA,舰长,1172,薇我50,34
44,204323021,老实の锅包又,舰长,1394,薇我50,34
45,33039475,来自地狱魅影,舰长,1049,薇我50,34
46,105294017,YNC小影子,舰长,582,薇我50,34
47,15016606,地狱掌管者-路西法,舰长,1013,薇我50,34
48,1418947,腊鸡玲珑_躺平中,舰长,607,薇我50,34
49,1413795259,花飞花影,舰长,356,薇我50,34
50,13038645,回忆的熊孩子,舰长,1200,薇我50,34
51,672722632,亿穷二白王道长,舰长,535,薇我50,34
52,175445590,过路人333,舰长,965,薇我50,34
53,302512419,摸余vv,舰长,185,薇我50,34
54,1681268,未定形史莱姆,舰长,1046,薇我50,34
55,301640080,压力史莱姆,舰长,683,薇我50,34
56,1887203,漆黑小透明,舰长,949,薇我50,34
57,480603815,凤顗,舰长,831,薇我50,34
58,1276746344,爱莉希雅nya,舰长,1181,薇我50,34
59,284241412,B站-市场调研-员,舰长,931,薇我50,33
60,3665701,黑腹小萝莉,舰长,882,薇我50,33
61,108038351,泽云熙海,舰长,771,薇我50,33
62,11154077,-逍遥哈利-,舰长,960,薇我50,33
63,224567449,童山闻颜,舰长,1016,薇我50,33
64,271865349,花果山吗喽小阿凌,舰长,505,薇我50,33
65,2478825,冰冰不想醒,舰长,929,薇我50,33
66,352940707,幽幕灵,舰长,831,薇我50,33
67,14121293,-悠乐美-,舰长,428,薇我50,33
68,8657762,金Au银Ag,舰长,1084,薇我50,33
69,38403401,珍惜未来,舰长,1020,薇我50,33
70,36227964,fft肥肥羊,舰长,741,薇我50,33
71,17212506,仙狐晓梦,舰长,718,薇我50,33
72,14850509,有三枚游戏币的卡七,舰长,771,薇我50,33
73,110366,Melody一野猫,舰长,833,薇我50,33
74,392082420,V圈守墓人-逆风21314号,舰长,839,薇我50,33
75,76557065,昔日猖狂,舰长,512,薇我50,33
76,34936482,可爱多一点的小可爱,舰长,910,薇我50,33
