rank,uid,username,type,accompany,medal_name,medal_level
1,6417028,学渣只能说一句花Q,提督,1238,薇我50,45
2,215160355,龍腾萬裏,提督,616,薇我50,43
3,324234804,橘小草,提督,110,薇我50,40
4,33069272,熙珺Seiro,提督,575,薇我50,38
5,441175327,终南苍云-棉花糖,提督,424,薇我50,36
6,20623283,魔龙幻象,舰长,864,薇我50,41
7,500926970,啾哩の小鸟,舰长,1531,薇我50,41
8,35954316,断桥九色鹿liner,舰长,1548,薇我50,40
9,3488947,翲雪,舰长,896,薇我50,40
10,513364,AquaARIA,舰长,1327,薇我50,38
11,88830022,糖加小酥,舰长,201,薇我50,38
12,3886831,白色の契约,舰长,225,薇我50,37
13,2021813,憨咸玉,舰长,1329,薇我50,37
14,86948494,邪眼断罪真君,舰长,728,薇我50,37
15,520950948,-墨终-,舰长,753,薇我50,36
16,11947976,墨二猫,舰长,1375,薇我50,36
17,66909349,通りすがりの卡面来打,舰长,343,薇我50,36
18,36803580,苏清璇omo,舰长,1694,薇我50,36
19,38267109,寒将学,舰长,1399,薇我50,36
20,88069932,啵啵语默yumo,舰长,1005,薇我50,35
21,486618176,唯爱-金克丝,舰长,1385,薇我50,35
22,7655747,Maki-Lucky,舰长,974,薇我50,35
23,33909726,知丶薇,舰长,1444,薇我50,35
24,50283515,Nemo_030,舰长,564,薇我50,35
25,26164174,头像是我老婆都不许抢,舰长,302,薇我50,35
26,44539694,落晓星垂,舰长,837,薇我50,35
27,188407581,等枫的秋omega,舰长,1076,薇我50,35
28,13618274,到处逛gai的织月_邪夜,舰长,800,薇我50,35
29,206971950,于生真君,舰长,552,薇我50,35
30,22797286,凡狼pyamiles,舰长,1152,薇我50,35
31,24331924,渡劫老咸鱼,舰长,1249,薇我50,35
32,4725013,Lin嚯嚯从小就是大冤种,舰长,846,薇我50,35
33,3493290353625201,CrazyFeng绝逢,舰长,293,薇我50,35
34,18256506,雪乃结衣,舰长,329,薇我50,35
35,140650247,岚狄9045,舰长,869,薇我50,35
